        -nan         -nan         -nan         -nan
        -nan         -nan         -nan         -nan
        -nan         -nan         -nan         -nan
    0.999281    0.0377049   0.00387106   -0.0240914
  -0.0378613     0.997755    0.0552376    -0.326253
 -0.00177964   -0.0553445     0.998466    0.0108583
    0.999509    0.0313277   0.00115529   -0.0069987
   -0.031345     0.998115    0.0527635    -0.316534
 0.000499844   -0.0527738     0.998606   0.00847503
    0.999676    0.0253492  -0.00242244    0.0158627
  -0.0252162     0.998689    0.0445559    -0.269233
  0.00354872   -0.0444803     0.999004    0.0038619
    0.999912    0.0124031  -0.00465213     0.030144
  -0.0122314     0.999303    0.0352702    -0.219615
  0.00508634   -0.0352102     0.999367  0.000574523
    0.999982   0.00383048   -0.0046718    0.0303368
 -0.00370163     0.999621    0.0272842    -0.174617
  0.00477454   -0.0272664     0.999617 -0.000716273
    0.999982   0.00364877  -0.00466416    0.0303695
  -0.0035073     0.999544    0.0299872    -0.192673
  0.00477145   -0.0299703     0.999539 -0.000403717
    0.999987  -0.00331695  -0.00393188    0.0257068
  0.00340846     0.999718     0.023501    -0.155925
  0.00385282   -0.0235141     0.999716 -0.000776651
    0.999988   -0.0025018   -0.0043008    0.0280561
  0.00259415     0.999763     0.021603     -0.14257
  0.00424574   -0.0216139     0.999757  -0.00117426
    0.999956  -0.00898076    -0.002709    0.0178645
  0.00902966     0.999786    0.0186123    -0.128316
  0.00254127   -0.0186359     0.999823 -0.000459348
    0.999957  -0.00838954  -0.00382514    0.0251384
  0.00845486     0.999813    0.0173919    -0.119476
  0.00367852   -0.0174235     0.999841  -0.00126463
    0.999896   -0.0143077  -0.00157501     0.010618
   0.0143299     0.999783    0.0151077    -0.109258
  0.00135852   -0.0151287     0.999885  1.87581e-05
    0.999928    -0.011385  -0.00375917    0.0248697
   0.0114434     0.999808    0.0159161    -0.112026
  0.00357724    -0.015958     0.999866  -0.00127782
    0.999551    0.0299572 -4.99191e-05  0.000729172
  -0.0299302     0.998719    0.0408042    -0.240017
  0.00127224   -0.0407844     0.999167   0.00430555
    0.999885    0.0150872  -0.00178818    0.0113776
   -0.015023     0.999385    0.0316746    -0.191695
  0.00226496   -0.0316441     0.999497    0.0018782
    0.999785    0.0206443  -0.00216983    0.0138837
  -0.0205575     0.999196     0.034413    -0.205832
  0.00287852    -0.034361     0.999405   0.00204549
    0.999975   0.00605919  -0.00373611    0.0237176
 -0.00596696     0.999689    0.0242225     -0.15036
  0.00388171   -0.0241996       0.9997  -0.00025246
    0.999996 -0.000416655  -0.00288441    0.0182813
 0.000478523     0.999769    0.0214819    -0.136387
  0.00287479   -0.0214832     0.999765 -2.31004e-05
    0.999916    0.0123246  -0.00411672    0.0262032
  -0.0122071     0.999549    0.0274448    -0.167269
  0.00445311   -0.0273923     0.999615 -0.000140059
    0.999963  -0.00728839  -0.00447013    0.0285473
   0.0073532     0.999866    0.0146588   -0.0975393
  0.00436269   -0.0146911     0.999883  -0.00161762
    0.999986 -0.000690485  -0.00515073     0.032882
 0.000781958     0.999842    0.0177783    -0.113912
