        -nan         -nan         -nan
        -nan         -nan         -nan
        -nan         -nan         -nan
    -305.788     -2225.07            0
           0     -40.3824      116.607
     40.3824            0      759.606
    -116.607     -759.606            0
           0      71.1928      320.594
    -71.1928            0      2130.23
    -320.594     -2130.23            0
           0     -1293.16      74.5879
     1293.16            0       589.97
    -74.5879      -589.97            0
           0      -938.79      57.0263
      938.79            0      469.506
    -57.0263     -469.506            0
           0     -24054.2      834.631
     24054.2            0        14608
    -834.631       -14608            0
           0     -32434.7      1078.67
     32434.7            0      18172.6
    -1078.67     -18172.6            0
           0     -7584.24      292.325
     7584.24            0      5025.95
    -292.325     -5025.95            0
           0     -1012.86     -2.08992
     1012.86            0      703.771
     2.08992     -703.771            0
           0     -844.518    -0.963146
     844.518            0      629.776
    0.963146     -629.776            0
           0     -281.942     -17.8782
     281.942            0      222.496
     17.8782     -222.496            0
           0     -989.006     -3.00465
     989.006            0      651.375
     3.00465     -651.375            0
           0     -264.462      -17.152
     264.462            0      203.644
      17.152     -203.644            0
           0     -228.188     -15.2393
     228.188            0      167.592
     15.2393     -167.592            0
           0     -609.869      1.39939
     609.869            0      494.316
    -1.39939     -494.316            0
           0     -224.023     -14.2589
     224.023            0      189.411
     14.2589     -189.411            0
           0     -143.703     -8.87283
     143.703            0      128.293
     8.87283     -128.293            0
           0     -502.713      2.91546
     502.713            0      432.465
    -2.91546     -432.465            0
           0     -6733.79      279.289
     6733.79            0      4789.79
    -279.289     -4789.79            0
           0     -2592.33      110.132
     2592.33            0       2023.5
    -110.132      -2023.5            0
           0     -777.548      50.5898
     777.548            0      473.229
    -50.5898     -473.229            0
           0     -1017.38      65.7455
     1017.38            0      559.123
    -65.7455     -559.123            0
           0     -472.684      31.4749
     472.684            0      331.454
    -31.4749     -331.454            0
           0     -955.921     -116.966
     955.921            0      790.765
     116.966     -790.765            0
           0     -865.576     -102.588
     865.576            0      733.988
     102.588     -733.988            0
           0     -25769.2     -4179.47
     25769.2            0      24676.5
     4179.47     -24676.5            0
           0     -33129.7     -5398.69
     33129.7            0      30784.4
     5398.69     -30784.4            0
           0     -9078.72     -1412.91
     9078.72            0      8601.09
     1412.91     -8601.09            0
           0      -737.27     -160.492
      737.27            0      784.915
     160.492     -784.915            0
           0      -742.56     -159.103
      742.56            0       783.32
     159.103      -783.32            0
           0     -226.129     -66.7864
     226.129            0       250.47
     66.7864      -250.47            0
           0     -606.231     -135.304
     606.231            0      658.475
     135.304     -658.475            0
           0     -202.697     -62.6803
     202.697            0      243.833
     62.6803     -243.833            0
           0     -136.972     -46.0752
     136.972            0      185.321
     46.0752     -185.321            0
           0      -608.88      -124.32
      608.88            0      619.986
      124.32     -619.986            0
           0     -192.684      -54.891
     192.684            0      201.033
      54.891     -201.033            0
           0     -143.836     -37.7952
     143.836            0      130.794
     37.7952     -130.794            0
           0     -626.468     -120.548
