        -nan         -nan         -nan
        -nan         -nan         -nan
        -nan         -nan          inf
     500.742      3118.07      -487.05
     3236.69      24447.4     -3520.65
    -442.123     -3044.61      500.207
     2548.55      22047.1     -2303.01
     20411.3       182728     -18810.8
    -1914.21     -16829.3      1791.84
     811.969      7223.95     -649.484
     6344.54      62954.5     -5389.35
    -517.122     -4814.51      470.749
     1329.16      11283.4     -911.259
     10264.9      93011.6     -7259.88
    -703.802     -6092.02      533.748
     355.111      3037.99     -178.194
     2606.69      28791.9     -1436.56
    -127.448     -1105.42       112.37
     241.913      1997.66     -140.017
     1636.49        20252     -1144.24
    -106.053     -966.905      112.068
     294.981       2113.8     -110.279
     1878.98      18546.1     -744.901
    -74.3149     -475.708      75.8608
     1269.32      7366.26     -1123.87
     8495.16      54017.1     -7963.51
    -979.454     -5979.67      945.204
     48362.7       296973     -50030.8
      363423  2.23682e+06      -376548
    -45036.9      -276955      46697.2
     29745.6       182477     -31199.3
      217724   1.3398e+06      -228760
    -28467.3      -174908      29927.6
     8620.43      48540.7     -8961.92
     63513.9       361437     -66657.1
    -8212.07     -46674.8      8672.97
     7105.07      40288.9     -7392.81
     52196.8       298323     -54616.3
    -6857.86     -39097.5      7210.31
     2535.52      12852.8     -2535.39
     17178.2      88290.8     -17393.3
    -2355.76     -12092.3      2441.93
     1439.88      6646.06     -1328.04
     8626.77      41822.2     -8402.76
    -1216.77     -5940.54      1304.98
     2841.84      17277.6     -3234.25
     22177.3       138422     -25664.5
    -3111.84     -19226.7      3628.74
     1573.87      8416.16     -1670.82
     11174.7      61673.9     -12092.9
    -1601.52     -8724.68      1783.18
     3078.26      19744.1     -3586.48
     23434.6       154953     -27806.3
    -3407.07     -22234.5      4054.43
     1383.17      8840.92     -1526.23
     9789.52      66962.2     -11246.2
    -1421.23     -9431.38      1647.48
     3654.99      22783.6     -3649.97
     25803.9       164951     -26128.2
     -3299.8     -20824.9       3361.5
     278.194      5750.33     -271.799
     2574.03      74197.6     -3165.72
    -134.019     -3071.33      187.292
     235.915      4374.83     -217.962
     2112.13      58402.2     -2558.18
    -114.249     -2401.23      161.871
     2067.15      87384.1     -1851.39
     31675.7   1.3907e+06     -29078.3
    -472.339     -19621.8      466.035
     2826.08       119445     -2460.16
     41230.3  1.79175e+06     -36539.5
    -647.948     -27057.2      607.075
     818.109      29488.4     -672.452
     12247.5       487048     -10709.4
    -197.297     -6851.86      206.788
     92.2053      2658.58     -7.02662
     361.738      55644.1       311.13
     -17.194      900.208      59.7661
       89.78       2225.6     -10.6016
     331.579      51038.9      255.027
    -17.3696      824.985       59.159
     65.7552      298.653     -4.70773
    -323.905      16135.1      720.103
    -38.2318      956.393        96.39
     93.3055      2688.01     -5.16486
     334.678      53910.9      338.314
    -17.8253       845.84      59.6596
     66.0116      307.583       -4.365
    -292.433      14316.2      651.817
    -37.0666       860.07      92.5989
      69.845      258.179     -6.44067
    -273.838      12355.7      580.902
    -36.1525      747.766      88.2249
     101.104      1940.61     -6.86573
     549.298      42717.7      308.247
    -11.0906      817.755      61.0095
     68.9162      260.068     -4.95419
    -255.389      14849.2      691.499
    -33.4131      908.827       96.144
     71.7109      224.577      -4.4889
    -111.746      11161.9      556.551
    -23.4185      715.483      89.6291
     118.903      2005.67       3.1861
      851.81      40277.3      461.824
   -0.293479      952.229      66.0777
        1060      30904.6     -608.805
     15646.8       492060     -9320.81
    -180.342     -4912.81      149.251
     619.151      14174.6     -205.375
     8284.91       217134     -2801.42
    -48.7127     -669.806      64.7704
     265.112      4406.51     -201.988
     2605.96      61536.2     -2464.93
    -115.157     -2099.94      141.029
     271.257      5040.94       -249.6
     2677.25        69660     -3088.52
    -134.354     -2793.55      180.805
     236.886      3184.09     -129.939
     2116.85      42784.2     -1415.65
     -79.132     -1087.71      92.7081
     78.7678      -72.593     -21.5162
    -2389.49      53157.4      4487.72
    -260.594      5432.59      510.807
     68.6861      82.7188     -8.38819
    -1882.51      47009.9      3925.58
    -208.523       4796.3      453.023
     1305.62     -21692.6     -2350.87
    -81652.3  1.43715e+06       154850
    -10651.1       187209      20223.5
     1725.41     -27917.6     -3029.68
     -109633  1.85565e+06       200481
    -14262.7       241164      26106.9
     440.073     -7037.68     -758.013
    -27465.9       523505        55403
    -3511.57      66657.1       7106.8
     181.405     -1435.22     -205.997
    -3172.51      41859.7      5686.23
    -526.338      6782.89      972.785
     190.718     -1599.06     -225.345
    -3335.17      44557.4      5976.15
    -541.259       7069.6      999.778
     165.152     -920.427     -168.145
    -1465.51      13907.4      2434.78
    -304.094      2809.02      542.305
      177.75      -1279.4     -185.521
    -2796.34      35346.3      4817.24
    -466.989      5749.48      834.926
     156.111     -796.728     -148.921
    -1297.64        12230      2174.28
    -277.599       2537.2      501.539
     153.683     -668.488     -127.186
     -1033.5      9123.06      1633.38
    -225.227      1914.36      393.293
     164.574     -1352.79      -188.77
     -2816.2      40681.2      5393.72
    -444.875      6276.44       883.97
     164.549     -912.634     -162.679
    -1403.22      13403.9      2309.24
    -280.304      2616.74      501.575
     142.623     -738.451     -128.406
     -1128.1      11428.8      1942.88
    -216.061      2154.17      417.587
     162.153     -1430.67     -196.475
    -3003.38        47345      6261.37
    -461.106      7144.36        997.1
     1009.77     -19782.1      -2095.7
      -80587  1.69806e+06       178867
    -10082.2       212174      22402.3
     1133.28     -24409.5        -2618
    -99023.3  2.27904e+06       243488
      -12330       283531      30344.9
     69.8845      42.3939     -10.2142
    -2026.81      58368.2      4825.49
    -216.759      5825.45      534.624
     66.5276      98.9755     -6.85672
    -1979.75      53378.2      4367.01
    -213.878         5335      489.301
     70.1114      96.7986     -3.92983
    -1443.36      48502.4      4120.97
    -158.424      4897.25      469.338
     105.529     -506.339     -78.2001
    -817.502      11673.5      1940.66
    -133.409      1991.32       385.49
     79.7815     -245.107     -32.2204
    -1290.26      44145.7       5981.9
    -183.846      6320.39      910.869
     94.9188     -573.118     -78.7163
    -1575.75      39522.3      5266.82
      -228.6      5669.25      808.939
    -49.1041      8007.33      878.461
    -14489.8       958698       105849
    -1773.94       116979      12969.6
     14.2148      9348.81      1076.78
    -3833.12       597621      68974.6
    -483.026      74925.4       8702.3
     68.5395      151.253       9.0077
    -10649.6       417771      45498.1
    -1311.91      51157.2      5625.04
     69.8288      1506.42      130.306
     -106.59      72153.5      6622.52
    -19.3527      7506.43      742.971
     61.9767      1181.98      95.1782
    -568.837      71192.3      6325.24
    -68.2981      7275.36      700.196
     78.8021      594.555      19.6657
     172.746      18043.7         1013
    -2.18361      1245.08      124.158
     86.3161      1233.98      116.248
     392.912      39477.8      3872.92
     37.8548      4314.57      477.776
     83.9211      568.197      22.1469
     252.529      14480.6      871.267
     5.86838      1048.71      117.364
     89.4989      466.403      22.5738
     282.992      8827.84      602.647
     13.0524      707.083      102.728
     64.9071      454.906       29.098
    -835.997        46358      4047.67
    -96.2963      4727.13      466.297
     74.5931       456.11      9.68414
     33.3415      15920.6      843.032
    -12.7145      1059.76      110.253
     335.396     -7225.17     -791.875
    -37032.7  1.02366e+06       111003
     -4599.5       126895      13813.5
     164.357     -1586.48     -216.062
    -3353.17      57944.1      7698.87
    -503.598      8603.55      1195.83
     136.394     -1255.17     -171.321
    -2736.38      53772.1      7157.43
    -403.788      7845.15      1097.27
     144.292      -904.48     -151.376
    -1407.24      16834.7      2827.47
    -251.187      3008.57       557.79
     145.131     -848.855     -143.843
     -1323.1      14825.2       2500.3
    -243.182      2713.08      509.609
      129.53     -763.062     -124.656
    -1183.64      15030.8       2506.1
    -203.803      2619.87      489.929
     236.056      2231.77      65.8854
     1754.34      24761.6      888.059
     70.4458      1200.48      98.0967
      212.14      2541.97      47.3212
     1834.73      34524.9      868.157
     51.5327      1290.63      87.5933
     1294.56      16045.6       22.811
     12898.6       170126      449.672
     178.617      2621.72      62.9581
     640.992      6213.62      83.0848
     5222.35      57856.7      935.589
     139.837      1747.66       83.984
     1660.51      25838.7     -127.773
     19341.6       315774     -1306.07
     120.242      2313.64      46.5991
     625.471      6310.58     -110.346
     5317.93      61376.9     -862.212
    -25.8341     -41.0411      56.8158
       768.8      9070.24     -225.908
     7333.95      96281.2     -2153.83
    -105.691     -1077.19      80.6176
     383.422      3116.83      -22.066
     2699.59      28742.3     -44.9123
     19.8722      400.738      55.6815
     353.145      4294.33     -139.304
     3220.91      50454.1     -1358.96
    -80.8744     -886.213      80.4358
     1676.59      33002.5     -255.896
     22231.5       459262     -3260.92
     60.0418      1699.23      44.0112
     168.787      3065.07      32.8321
      1667.9      55768.7      938.266
     29.1036      1618.01      82.3926
