        -nan         -nan         -nan
        -nan         -nan         -nan
        -nan         -nan         -nan
    -1.33361     -41.0778      5.45758
    -7.05884     -52.1104      3.94973
    -69.2742     -497.538      60.1912
     -51.014      -452.23      54.6673
    -4.19591     -31.9612      2.60783
    -91.2332      -777.16      92.9616
    -12.5223     -124.219       18.361
    -6.39114     -49.9663         5.62
    -52.7986     -420.076      60.6159
    -236.539     -2150.04      222.038
      1.1188       17.153     -2.73841
    -273.972     -2477.62      255.142
    -88.9942     -917.908      79.3521
     2.11851      32.5345      -3.6274
    -84.6833     -866.895      74.3523
    -134.068     -1249.57      98.3516
     3.26404       38.958      -4.1399
    -164.827     -1519.39      118.755
    -37.4846     -453.808      23.4902
     0.94919      25.3052     -2.25556
     -40.083     -470.673      23.7257
    -24.8493     -347.252      20.4644
   0.0373669      18.7263     -1.84369
    -21.2088     -292.222      16.7644
    -23.5536     -271.593      11.7728
    0.646292      19.2293     -1.99972
    -32.1019     -343.376      14.0361
     13.0161      51.6377     -7.16625
    -32.9448     -217.025      29.1964
    -238.233     -1535.98      226.808
     2106.43      12934.3     -2176.81
    -1836.64     -11315.4      1901.59
    -10168.5     -62603.4      10539.5
     484.938      2953.48     -504.137
    -1116.26      -6878.9      1171.54
    -6817.16     -41970.2      7166.41
     1352.56       7670.1     -1413.56
    -680.139     -3884.82      712.451
    -2781.75     -15839.2      2922.54
     1484.98      8460.09     -1548.06
    -626.327     -3593.35      654.109
    -2328.75     -13319.8      2439.89
     1298.46      6648.05     -1307.93
    -385.584     -1996.54      388.932
    -871.961     -4486.78        885.6
      369.92      1767.22     -352.861
    -118.151     -585.332      113.061
    -274.184     -1334.06       269.41
     321.983       1982.5     -367.152
    -166.856     -1055.23      192.298
    -708.607     -4434.99      823.291
     456.129       2492.7     -487.865
    -133.122      -749.34      143.017
    -322.296     -1785.74      351.678
     37.6595      219.038     -39.1889
    -108.935     -730.512      128.407
    -650.765     -4321.72      775.882
    -12.1807     -112.681      19.1751
    -31.9159     -224.124       35.574
    -214.039     -1483.64      249.348
     11.9741      45.8242     -7.02105
    -96.5613     -623.895      96.3714
    -648.208     -4164.09       659.76
    -85.0515      -2586.2      111.276
    0.123359      98.9084     -4.41433
    -37.8996     -1184.36      51.3301
    -63.3683      -1878.1      83.3107
    -0.52034      67.0075     -3.23681
    -30.7418      -942.25      41.9207
    -1090.33     -48080.2      1006.38
     28.1557      1372.83     -29.2787
    -662.882     -29245.3      612.248
     -1487.1     -64826.9      1322.93
       42.44      1992.47     -41.0938
    -834.409     -36386.4      742.909
    -377.426     -15160.7       334.34
     7.80133      418.505      -9.8487
    -250.311     -10061.8      221.831
    -8.14732     -2028.48     -10.2478
    -2.75904      72.0624    -0.441238
    -6.06793     -1407.98     -6.99039
    -6.86797     -1691.54     -7.42072
    -2.50199      56.1073    -0.584734
    -5.49443     -1260.14      -5.5532
     15.8283     -567.297      -24.208
    -3.41377      22.1139    -0.120367
     11.5483     -445.113      -18.993
    -7.75476     -1981.02     -11.5689
    -3.00263       72.531    -0.306809
    -5.55963     -1303.06     -7.23087
     16.0509     -532.735     -23.1212
    -3.81082      26.3564    0.0793868
     11.1829     -407.209     -17.5505
     14.5398     -460.392     -20.8602
    -4.01524      24.5752     0.089704
     9.61843     -335.094     -14.7795
     -12.728     -1221.67     -7.94912
    -1.92737      46.9075    -0.576934
    -10.7479     -989.209     -6.54838
     11.0048      -451.01     -20.0926
    -2.96477      17.7261    -0.273135
     8.42516     -379.094     -16.9678
     5.53942     -289.888     -13.6074
    -2.48169      14.1657    -0.365091
     4.13826     -256.951     -12.2241
    -18.6369     -1006.66     -10.6863
     -1.2313      48.0971    -0.383823
    -16.5172     -865.313     -9.39983
    -425.015     -13455.2      255.732
     12.3374      463.534      -9.5034
    -302.846     -9589.09      182.099
    -194.886     -5178.31      67.6617
     6.33976      222.161     -3.65256
    -152.602     -4050.65      52.6752
    -63.0416     -1554.72      63.1426
    0.375363      61.5424     -2.99318
    -38.0369     -949.451      38.4261
    -74.6303     -2034.63      91.1263
    0.129008      70.0922     -3.51537
    -40.3646     -1121.76      50.2081
    -44.0498      -945.25       32.167
    0.118644      41.7799     -2.04219
    -30.7827      -664.95        22.38
     90.3207        -1920     -161.332
    -8.16011      105.864       7.5585
      72.601     -1573.97     -131.954
     74.7428     -1738.46     -143.957
    -7.30414      99.8747      6.91032
     61.2192     -1461.07     -120.963
     2945.08     -51747.6     -5574.43
    -209.285      3626.11      388.987
      2784.5     -48964.1     -5274.75
     3933.78     -66523.1     -7186.37
    -263.676         4406      474.339
     3611.01     -61094.4     -6599.74
      961.17     -18227.2     -1927.63
    -69.7172      1270.63       132.85
     898.187     -17069.3     -1805.46
     117.493     -1488.93     -201.001
    -14.3939      147.108      18.0156
     119.982     -1551.81     -209.867
     117.226     -1498.26     -199.476
    -13.1396      135.213      16.3069
     118.729     -1550.33     -206.922
     53.5519     -460.223      -78.983
    -7.96537      47.4196      6.31082
     54.5899     -494.628     -85.5436
      99.989     -1226.09     -166.515
    -13.6318      130.818      15.8556
     104.094      -1301.1     -176.743
     48.1144     -414.495     -72.4381
    -9.10096       55.547      7.67035
     52.9225     -479.995     -84.4791
     34.3735     -282.867     -50.1509
    -8.92389      51.6521      6.99015
     41.9996     -363.651     -64.7317
     89.0681     -1227.74     -161.509
    -9.98098      104.118      12.1954
     87.1308     -1227.78     -161.895
     45.4971     -391.387       -65.97
    -6.01881      31.8989       3.8075
     43.8121     -398.259     -67.6194
     31.9934     -291.767     -48.6168
    -4.09507      16.1799      1.38087
     26.9735     -260.208     -43.4872
     82.9546     -1261.32     -165.894
    -8.38456      92.1952      10.8016
     75.2022     -1164.72     -153.368
     2539.18     -53423.4     -5626.32
    -178.781      3708.28      389.151
     2327.68     -49004.7     -5161.17
     2674.74     -61495.1     -6569.12
    -191.395      4346.52      463.067
